Gene stable ID	Gene stable ID version	Gene name	Human gene stable ID	Human gene name	Human protein or transcript stable ID	Human orthology confidence [0 low, 1 high]	Human homology type
ENSMUSG00000004356	ENSMUSG00000004356.9	Utp20	ENSG00000120800	UTP20	ENSP00000261637	1	ortholog_one2one
ENSMUSG00000037112	ENSMUSG00000037112.17	Sik2	ENSG00000170145	SIK2	ENSP00000305976	1	ortholog_one2one
ENSMUSG00000047259	ENSMUSG00000047259.4	Mc4r	ENSG00000166603	MC4R	ENSP00000299766	1	ortholog_one2one
ENSMUSG00000034463	ENSMUSG00000034463.5	Scara3	ENSG00000168077	SCARA3	ENSP00000301904	1	ortholog_one2one
ENSMUSG00000024524	ENSMUSG00000024524.18	Gnal	ENSG00000141404	GNAL	ENSP00000334051	1	ortholog_one2one
ENSMUSG00000022641	ENSMUSG00000022641.16	Bbx	ENSG00000114439	BBX	ENSP00000319974	1	ortholog_one2one
ENSMUSG00000024795	ENSMUSG00000024795.12	Kif20b	ENSG00000138182	KIF20B	ENSP00000360793	1	ortholog_one2one
ENSMUSG00000022205	ENSMUSG00000022205.16	Sub1	ENSG00000113387	SUB1	ENSP00000265073	1	ortholog_one2one
ENSMUSG00000071477	ENSMUSG00000071477.11	Zfp777	ENSG00000196453	ZNF777	ENSP00000247930	1	ortholog_one2one
ENSMUSG00000022037	ENSMUSG00000022037.16	Clu	ENSG00000120885	CLU	ENSP00000315130	1	ortholog_one2one
ENSMUSG00000023272	ENSMUSG00000023272.5	Creld2	ENSG00000184164	CRELD2	ENSP00000332223	1	ortholog_one2one
ENSMUSG00000063884	ENSMUSG00000063884.7	Ptcd3	ENSG00000132300	PTCD3	ENSP00000254630	1	ortholog_one2one
ENSMUSG00000031104	ENSMUSG00000031104.3	Rab33a	ENSG00000134594	RAB33A	ENSP00000257017	1	ortholog_one2one
ENSMUSG00000031262	ENSMUSG00000031262.13	Cenpi	ENSG00000102384	CENPI	ENSP00000507927	1	ortholog_one2one
ENSMUSG00000035828	ENSMUSG00000035828.12	Pim3	ENSG00000198355	PIM3	ENSP00000353824	1	ortholog_one2one
ENSMUSG00000049291	ENSMUSG00000049291.7	Prss38	ENSG00000185888	PRSS38	ENSP00000355719	1	ortholog_one2one
ENSMUSG00000061718	ENSMUSG00000061718.13	Ppp1r1b	ENSG00000131771	PPP1R1B	ENSP00000254079	1	ortholog_one2one
ENSMUSG00000029312	ENSMUSG00000029312.13	Klhl8	ENSG00000145332	KLHL8	ENSP00000273963	1	ortholog_one2one
ENSMUSG00000072501	ENSMUSG00000072501.6	Phf20l1	ENSG00000129292	PHF20L1	ENSP00000378784	1	ortholog_one2one
ENSMUSG00000021577	ENSMUSG00000021577.15	Sdha	ENSG00000073578	SDHA	ENSP00000264932	1	ortholog_one2one
ENSMUSG00000046101	ENSMUSG00000046101.17	Mcmdc2	ENSG00000178460	MCMDC2	ENSP00000413632	1	ortholog_one2one
ENSMUSG00000034032	ENSMUSG00000034032.16	Rpap1	ENSG00000103932	RPAP1	ENSP00000306123	1	ortholog_one2one
ENSMUSG00000039716	ENSMUSG00000039716.13	Dock3	ENSG00000088538	DOCK3	ENSP00000266037	1	ortholog_one2one
ENSMUSG00000028019	ENSMUSG00000028019.10	Pdgfc	ENSG00000145431	PDGFC	ENSP00000422464	1	ortholog_one2one
ENSMUSG00000009894	ENSMUSG00000009894.16	Snap47	ENSG00000143740	SNAP47	ENSP00000483253	1	ortholog_one2one
ENSMUSG00000067220	ENSMUSG00000067220.13	Cnga1	ENSG00000198515	CNGA1	ENSP00000426862	1	ortholog_one2one
ENSMUSG00000021385	ENSMUSG00000021385.11	Ippk	ENSG00000127080	IPPK	ENSP00000287996	1	ortholog_one2one
ENSMUSG00000022039	ENSMUSG00000022039.7	Adam2	ENSG00000104755	ADAM2	ENSP00000265708	1	ortholog_one2one
ENSMUSG00000020974	ENSMUSG00000020974.7	Pole2	ENSG00000100479	POLE2	ENSP00000216367	1	ortholog_one2one
ENSMUSG00000019846	ENSMUSG00000019846.12	Lama4	ENSG00000112769	LAMA4	ENSP00000230538	1	ortholog_one2one
ENSMUSG00000028015	ENSMUSG00000028015.4	Ctso	ENSG00000256043	CTSO	ENSP00000414904	1	ortholog_one2one
ENSMUSG00000064090	ENSMUSG00000064090.15	Vrk2	ENSG00000028116	VRK2	ENSP00000342381	1	ortholog_one2one
ENSMUSG00000093178	ENSMUSG00000093178.3	Snord87	ENSG00000254341	SNORD87	ENST00000364849	1	ortholog_one2one
ENSMUSG00000067219	ENSMUSG00000067219.10	Nipal1	ENSG00000163293	NIPAL1	ENSP00000295461	1	ortholog_one2one
ENSMUSG00000080465	ENSMUSG00000080465.3	Snord94	ENSG00000208772	SNORD94	ENST00000386037	1	ortholog_one2one
ENSMUSG00000099032	ENSMUSG00000099032.3	Tcf24	ENSG00000261787	TCF24	ENSP00000455444	1	ortholog_one2one
ENSMUSG00000038936	ENSMUSG00000038936.14	Sccpdh	ENSG00000143653	SCCPDH	ENSP00000355467	1	ortholog_one2one
ENSMUSG00000027710	ENSMUSG00000027710.15	Acad9	ENSG00000177646	ACAD9	ENSP00000312618	1	ortholog_one2one
ENSMUSG00000057691	ENSMUSG00000057691.9	Zfp746	ENSG00000181220	ZNF746	ENSP00000395007	1	ortholog_one2one
ENSMUSG00000022040	ENSMUSG00000022040.9	Ephx2	ENSG00000120915	EPHX2	ENSP00000430269	1	ortholog_one2one
ENSMUSG00000034528	ENSMUSG00000034528.16	Hsd17b13	ENSG00000170509	HSD17B13	ENSP00000333300	1	ortholog_one2one
ENSMUSG00000030279	ENSMUSG00000030279.16	C2cd5	ENSG00000111731	C2CD5	ENSP00000388756	1	ortholog_one2one
ENSMUSG00000109901	ENSMUSG00000109901.3	Chmp1b	ENSG00000255112	CHMP1B	ENSP00000432279	1	ortholog_one2one
ENSMUSG00000062526	ENSMUSG00000062526.5	Mppe1	ENSG00000154889	MPPE1	ENSP00000465894	1	ortholog_one2one
ENSMUSG00000021391	ENSMUSG00000021391.11	Cenpp	ENSG00000188312	CENPP	ENSP00000364737	1	ortholog_one2one
ENSMUSG00000020062	ENSMUSG00000020062.8	Slc5a8	ENSG00000256870	SLC5A8	ENSP00000445340	1	ortholog_one2one
ENSMUSG00000018167	ENSMUSG00000018167.11	Stard3	ENSG00000131748	STARD3	ENSP00000337446	1	ortholog_one2one
ENSMUSG00000029311	ENSMUSG00000029311.17	Hsd17b11	ENSG00000198189	HSD17B11	ENSP00000351035	1	ortholog_one2one
ENSMUSG00000028011	ENSMUSG00000028011.17	Tdo2	ENSG00000151790	TDO2	ENSP00000444788	1	ortholog_one2one
ENSMUSG00000042772	ENSMUSG00000042772.16	Smg7	ENSG00000116698	SMG7	ENSP00000510175	1	ortholog_one2one
ENSMUSG00000051736	ENSMUSG00000051736.9	Fam229b	ENSG00000203778	FAM229B	ENSP00000357645	1	ortholog_one2one
ENSMUSG00000022388	ENSMUSG00000022388.15	Ttll8	ENSG00000138892	TTLL8	ENSP00000392252	1	ortholog_one2one
ENSMUSG00000025289	ENSMUSG00000025289.16	Prdx4	ENSG00000123131	PRDX4	ENSP00000368646	1	ortholog_one2one
ENSMUSG00000051890	ENSMUSG00000051890.14	Klhdc1	ENSG00000197776	KLHDC1	ENSP00000352282	1	ortholog_one2one
ENSMUSG00000048677	ENSMUSG00000048677.10	Tpcn2	ENSG00000162341	TPCN2	ENSP00000294309	1	ortholog_one2one
ENSMUSG00000024798	ENSMUSG00000024798.16	Htr7	ENSG00000148680	HTR7	ENSP00000337949	1	ortholog_one2one
ENSMUSG00000024525	ENSMUSG00000024525.8	Impa2	ENSG00000141401	IMPA2	ENSP00000269159	1	ortholog_one2one
ENSMUSG00000029310	ENSMUSG00000029310.14	Nudt9	ENSG00000170502	NUDT9	ENSP00000303575	1	ortholog_one2one
ENSMUSG00000032577	ENSMUSG00000032577.17	Mapkapk3	ENSG00000114738	MAPKAPK3	ENSP00000478922	1	ortholog_one2one
ENSMUSG00000007877	ENSMUSG00000007877.3	Tcap	ENSG00000173991	TCAP	ENSP00000312624	1	ortholog_one2one
ENSMUSG00000024526	ENSMUSG00000024526.10	Cidea	ENSG00000176194	CIDEA	ENSP00000320209	1	ortholog_one2one
ENSMUSG00000024800	ENSMUSG00000024800.9	Rpp30	ENSG00000148688	RPP30	ENSP00000360768	1	ortholog_one2one
ENSMUSG00000041552	ENSMUSG00000041552.8	Ptchd1	ENSG00000165186	PTCHD1	ENSP00000368666	1	ortholog_one2one
ENSMUSG00000038216	ENSMUSG00000038216.8	Pnmt	ENSG00000141744	PNMT	ENSP00000269582	1	ortholog_one2one
ENSMUSG00000001473	ENSMUSG00000001473.8	Tubb6	ENSG00000176014	TUBB6	ENSP00000318697	1	ortholog_one2one
ENSMUSG00000039105	ENSMUSG00000039105.7	Atp6v1g1	ENSG00000136888	ATP6V1G1	ENSP00000363162	1	ortholog_one2one
ENSMUSG00000022201	ENSMUSG00000022201.17	Zfr	ENSG00000056097	ZFR	ENSP00000265069	1	ortholog_one2one
ENSMUSG00000036819	ENSMUSG00000036819.15	Jmjd4	ENSG00000081692	JMJD4	ENSP00000477669	1	ortholog_one2one
ENSMUSG00000028972	ENSMUSG00000028972.12	Car6	ENSG00000131686	CA6	ENSP00000366662	1	ortholog_one2one
ENSMUSG00000024527	ENSMUSG00000024527.11	Afg3l2	ENSG00000141385	AFG3L2	ENSP00000269143	1	ortholog_one2one
ENSMUSG00000000223	ENSMUSG00000000223.14	Drp2	ENSG00000102385	DRP2	ENSP00000378635	1	ortholog_one2one
ENSMUSG00000024803	ENSMUSG00000024803.10	Ankrd1	ENSG00000148677	ANKRD1	ENSP00000360762	1	ortholog_one2one
ENSMUSG00000021578	ENSMUSG00000021578.18	Ccdc127	ENSG00000164366	CCDC127	ENSP00000296824	1	ortholog_one2one
ENSMUSG00000045917	ENSMUSG00000045917.18	Tmem268	ENSG00000157693	TMEM268	ENSP00000288502	1	ortholog_one2one
ENSMUSG00000091034	ENSMUSG00000091034.9	Scpppq1	ENSG00000272856	SCPPPQ1	ENSP00000520428	1	ortholog_one2one
ENSMUSG00000028008	ENSMUSG00000028008.11	Asic5	ENSG00000256394	ASIC5	ENSP00000442477	1	ortholog_one2one
ENSMUSG00000022041	ENSMUSG00000022041.11	Chrna2	ENSG00000120903	CHRNA2	ENSP00000385026	1	ortholog_one2one
ENSMUSG00000019845	ENSMUSG00000019845.9	Tube1	ENSG00000074935	TUBE1	ENSP00000357651	1	ortholog_one2one
ENSMUSG00000050471	ENSMUSG00000050471.18	Fam118b	ENSG00000197798	FAM118B	ENSP00000433343	1	ortholog_one2one
ENSMUSG00000024831	ENSMUSG00000024831.15	Ighmbp2	ENSG00000132740	IGHMBP2	ENSP00000255078	1	ortholog_one2one
ENSMUSG00000050685	ENSMUSG00000050685.6	Ccdc54	ENSG00000138483	CCDC54	ENSP00000261058	1	ortholog_one2one
ENSMUSG00000029309	ENSMUSG00000029309.8	Sparcl1	ENSG00000152583	SPARCL1	ENSP00000282470	1	ortholog_one2one
ENSMUSG00000021579	ENSMUSG00000021579.5	Lrrc14b	ENSG00000185028	LRRC14B	ENSP00000327675	1	ortholog_one2one
ENSMUSG00000062713	ENSMUSG00000062713.9	Sim2	ENSG00000159263	SIM2	ENSP00000290399	1	ortholog_one2one
ENSMUSG00000059456	ENSMUSG00000059456.14	Ptk2b	ENSG00000120899	PTK2B	ENSP00000332816	1	ortholog_one2one
ENSMUSG00000020978	ENSMUSG00000020978.11	Klhdc2	ENSG00000165516	KLHDC2	ENSP00000298307	1	ortholog_one2one
ENSMUSG00000038208	ENSMUSG00000038208.14	Pgap3	ENSG00000161395	PGAP3	ENSP00000300658	1	ortholog_one2one
ENSMUSG00000024530	ENSMUSG00000024530.9	Prelid3a	ENSG00000141391	PRELID3A	ENSP00000404700	1	ortholog_one2one
ENSMUSG00000028005	ENSMUSG00000028005.14	Gucy1b1	ENSG00000061918	GUCY1B1	ENSP00000264424	1	ortholog_one2one
ENSMUSG00000043631	ENSMUSG00000043631.9	Ecm2	ENSG00000106823	ECM2	ENSP00000344758	1	ortholog_one2one
ENSMUSG00000037846	ENSMUSG00000037846.19	Rtkn2	ENSG00000182010	RTKN2	ENSP00000362894	1	ortholog_one2one
ENSMUSG00000092094	ENSMUSG00000092094.6	Zfp804b	ENSG00000182348	ZNF804B	ENSP00000329638	1	ortholog_one2one
ENSMUSG00000024533	ENSMUSG00000024533.18	Spire1	ENSG00000134278	SPIRE1	ENSP00000387266	1	ortholog_one2one
ENSMUSG00000040820	ENSMUSG00000040820.17	Hlcs	ENSG00000159267	HLCS	ENSP00000502087	1	ortholog_one2one
ENSMUSG00000040514	ENSMUSG00000040514.7	Tex47	ENSG00000164645	TEX47	ENSP00000297203	1	ortholog_one2one
ENSMUSG00000029307	ENSMUSG00000029307.8	Dmp1	ENSG00000152592	DMP1	ENSP00000340935	1	ortholog_one2one
ENSMUSG00000017774	ENSMUSG00000017774.20	Myo1c	ENSG00000197879	MYO1C	ENSP00000496954	1	ortholog_one2one
ENSMUSG00000027712	ENSMUSG00000027712.14	Anxa5	ENSG00000164111	ANXA5	ENSP00000296511	1	ortholog_one2one
ENSMUSG00000035805	ENSMUSG00000035805.14	Mlc1	ENSG00000100427	MLC1	ENSP00000310375	1	ortholog_one2one
ENSMUSG00000012428	ENSMUSG00000012428.10	Steap4	ENSG00000127954	STEAP4	ENSP00000369419	1	ortholog_one2one
ENSMUSG00000029306	ENSMUSG00000029306.9	Ibsp	ENSG00000029559	IBSP	ENSP00000226284	1	ortholog_one2one
ENSMUSG00000032578	ENSMUSG00000032578.8	Cish	ENSG00000114737	CISH	ENSP00000294173	1	ortholog_one2one
ENSMUSG00000028362	ENSMUSG00000028362.3	Tnfsf8	ENSG00000106952	TNFSF8	ENSP00000223795	1	ortholog_one2one
ENSMUSG00000021388	ENSMUSG00000021388.15	Aspn	ENSG00000106819	ASPN	ENSP00000364694	1	ortholog_one2one
ENSMUSG00000032044	ENSMUSG00000032044.5	Rpusd4	ENSG00000165526	RPUSD4	ENSP00000298317	1	ortholog_one2one
ENSMUSG00000039852	ENSMUSG00000039852.18	Rere	ENSG00000142599	RERE	ENSP00000383700	1	ortholog_one2one
ENSMUSG00000024829	ENSMUSG00000024829.13	Mrpl21	ENSG00000197345	MRPL21	ENSP00000354580	1	ortholog_one2one
ENSMUSG00000022941	ENSMUSG00000022941.9	Ripply3	ENSG00000183145	RIPPLY3	ENSP00000331734	1	ortholog_one2one
ENSMUSG00000054892	ENSMUSG00000054892.15	Txk	ENSG00000074966	TXK	ENSP00000264316	1	ortholog_one2one
ENSMUSG00000026042	ENSMUSG00000026042.17	Col5a2	ENSG00000204262	COL5A2	ENSP00000364000	1	ortholog_one2one
ENSMUSG00000022940	ENSMUSG00000022940.18	Pigp	ENSG00000185808	PIGP	ENSP00000353719	1	ortholog_one2one
ENSMUSG00000039458	ENSMUSG00000039458.16	Mtmr12	ENSG00000150712	MTMR12	ENSP00000371577	1	ortholog_one2one
ENSMUSG00000033910	ENSMUSG00000033910.14	Gucy1a1	ENSG00000164116	GUCY1A1	ENSP00000424361	1	ortholog_one2one
ENSMUSG00000042745	ENSMUSG00000042745.10	Id1	ENSG00000125968	ID1	ENSP00000365280	1	ortholog_one2one
ENSMUSG00000032579	ENSMUSG00000032579.15	Hemk1	ENSG00000114735	HEMK1	ENSP00000232854	1	ortholog_one2one
ENSMUSG00000009876	ENSMUSG00000009876.14	Cox4i2	ENSG00000131055	COX4I2	ENSP00000365243	1	ortholog_one2one
ENSMUSG00000076431	ENSMUSG00000076431.5	Sox4	ENSG00000124766	SOX4	ENSP00000244745	1	ortholog_one2one
ENSMUSG00000085007	ENSMUSG00000085007.4	Smim43	ENSG00000164112	SMIM43	ENSP00000495721	1	ortholog_one2one
ENSMUSG00000024900	ENSMUSG00000024900.6	Cpt1a	ENSG00000110090	CPT1A	ENSP00000265641	1	ortholog_one2one
ENSMUSG00000020982	ENSMUSG00000020982.10	Nemf	ENSG00000165525	NEMF	ENSP00000298310	1	ortholog_one2one
ENSMUSG00000021583	ENSMUSG00000021583.8	Erap1	ENSG00000164307	ERAP1	ENSP00000406304	1	ortholog_one2one
ENSMUSG00000007659	ENSMUSG00000007659.19	Bcl2l1	ENSG00000171552	BCL2L1	ENSP00000302564	1	ortholog_one2one
ENSMUSG00000028125	ENSMUSG00000028125.15	Abca4	ENSG00000198691	ABCA4	ENSP00000359245	1	ortholog_one2one
ENSMUSG00000037977	ENSMUSG00000037977.7	6430571L13Rik	ENSG00000088543	C3orf18	ENSP00000349732	1	ortholog_one2one
ENSMUSG00000028364	ENSMUSG00000028364.16	Tnc	ENSG00000041982	TNC	ENSP00000265131	1	ortholog_one2one
ENSMUSG00000062074	ENSMUSG00000062074.8	Ccn6	ENSG00000112761	CCN6	ENSP00000357655	1	ortholog_one2one
ENSMUSG00000031443	ENSMUSG00000031443.8	F7	ENSG00000057593	F7	ENSP00000329546	1	ortholog_one2one
ENSMUSG00000053199	ENSMUSG00000053199.14	Arhgap20	ENSG00000137727	ARHGAP20	ENSP00000507405	1	ortholog_one2one
ENSMUSG00000019947	ENSMUSG00000019947.11	Arid5b	ENSG00000150347	ARID5B	ENSP00000279873	1	ortholog_one2one
ENSMUSG00000073542	ENSMUSG00000073542.4	Cep76	ENSG00000101624	CEP76	ENSP00000262127	1	ortholog_one2one
ENSMUSG00000027525	ENSMUSG00000027525.19	Phactr3	ENSG00000087495	PHACTR3	ENSP00000360054	1	ortholog_one2one
ENSMUSG00000003847	ENSMUSG00000003847.17	Nfat5	ENSG00000102908	NFAT5	ENSP00000338806	1	ortholog_one2one
ENSMUSG00000109305	ENSMUSG00000109305.2	Smim38	ENSG00000284713	SMIM38	ENSP00000509996	1	ortholog_one2one
ENSMUSG00000031070	ENSMUSG00000031070.16	Mrgprf	ENSG00000172935	MRGPRF	ENSP00000309782	1	ortholog_one2one
ENSMUSG00000024537	ENSMUSG00000024537.6	Psmg2	ENSG00000128789	PSMG2	ENSP00000325919	1	ortholog_one2one
ENSMUSG00000051207	ENSMUSG00000051207.8	Mrgprd	ENSG00000172938	MRGPRD	ENSP00000310631	1	ortholog_one2one
ENSMUSG00000022637	ENSMUSG00000022637.12	Cblb	ENSG00000114423	CBLB	ENSP00000377598	1	ortholog_one2one
ENSMUSG00000073643	ENSMUSG00000073643.12	Wdfy1	ENSG00000085449	WDFY1	ENSP00000233055	1	ortholog_one2one
ENSMUSG00000019945	ENSMUSG00000019945.11	Cabcoco1	ENSG00000183346	CABCOCO1	ENSP00000496918	1	ortholog_one2one
ENSMUSG00000023279	ENSMUSG00000023279.8	Bmp15	ENSG00000130385	BMP15	ENSP00000252677	1	ortholog_one2one
ENSMUSG00000038119	ENSMUSG00000038119.16	Cdon	ENSG00000064309	CDON	ENSP00000432901	1	ortholog_one2one
ENSMUSG00000024539	ENSMUSG00000024539.18	Ptpn2	ENSG00000175354	PTPN2	ENSP00000311857	1	ortholog_one2one
ENSMUSG00000036916	ENSMUSG00000036916.14	Zfp280c	ENSG00000056277	ZNF280C	ENSP00000360017	1	ortholog_one2one
ENSMUSG00000006191	ENSMUSG00000006191.18	Cdkal1	ENSG00000145996	CDKAL1	ENSP00000274695	1	ortholog_one2one
ENSMUSG00000053469	ENSMUSG00000053469.15	Tg	ENSG00000042832	TG	ENSP00000220616	1	ortholog_one2one
ENSMUSG00000060044	ENSMUSG00000060044.9	Tmem26	ENSG00000196932	TMEM26	ENSP00000382237	1	ortholog_one2one
ENSMUSG00000024905	ENSMUSG00000024905.16	Tesmin	ENSG00000132749	TESMIN	ENSP00000255087	1	ortholog_one2one
ENSMUSG00000030522	ENSMUSG00000030522.15	Mtmr10	ENSG00000166912	MTMR10	ENSP00000402537	1	ortholog_one2one
ENSMUSG00000035189	ENSMUSG00000035189.18	Ano4	ENSG00000151572	ANO4	ENSP00000376703	1	ortholog_one2one
ENSMUSG00000039068	ENSMUSG00000039068.17	Zzz3	ENSG00000036549	ZZZ3	ENSP00000359837	1	ortholog_one2one
ENSMUSG00000032051	ENSMUSG00000032051.10	Fdx1	ENSG00000137714	FDX1	ENSP00000260270	1	ortholog_one2one
ENSMUSG00000003161	ENSMUSG00000003161.16	Sri	ENSG00000075142	SRI	ENSP00000265729	1	ortholog_one2one
ENSMUSG00000032050	ENSMUSG00000032050.19	Rdx	ENSG00000137710	RDX	ENSP00000496503	1	ortholog_one2one
ENSMUSG00000047414	ENSMUSG00000047414.7	Flrt2	ENSG00000185070	FLRT2	ENSP00000332879	1	ortholog_one2one
ENSMUSG00000044147	ENSMUSG00000044147.9	Arf6	ENSG00000165527	ARF6	ENSP00000298316	1	ortholog_one2one
ENSMUSG00000079614	ENSMUSG00000079614.5	Seh1l	ENSG00000085415	SEH1L	ENSP00000382779	1	ortholog_one2one
ENSMUSG00000024907	ENSMUSG00000024907.8	Gal	ENSG00000069482	GAL	ENSP00000265643	1	ortholog_one2one
ENSMUSG00000033458	ENSMUSG00000033458.18	Fan1	ENSG00000198690	FAN1	ENSP00000354497	1	ortholog_one2one
ENSMUSG00000025916	ENSMUSG00000025916.11	Ppp1r42	ENSG00000178125	PPP1R42	ENSP00000508980	1	ortholog_one2one
ENSMUSG00000049882	ENSMUSG00000049882.11	Vcpkmt	ENSG00000100483	VCPKMT	ENSP00000379201	1	ortholog_one2one
ENSMUSG00000040565	ENSMUSG00000040565.9	Btaf1	ENSG00000095564	BTAF1	ENSP00000265990	1	ortholog_one2one
ENSMUSG00000035164	ENSMUSG00000035164.9	Zc3h12c	ENSG00000149289	ZC3H12C	ENSP00000278590	1	ortholog_one2one
ENSMUSG00000024542	ENSMUSG00000024542.10	Cep192	ENSG00000101639	CEP192	ENSP00000427550	1	ortholog_one2one
ENSMUSG00000003849	ENSMUSG00000003849.9	Nqo1	ENSG00000181019	NQO1	ENSP00000319788	1	ortholog_one2one
ENSMUSG00000078307	ENSMUSG00000078307.4	AI593442	ENSG00000185742	C11orf87	ENSP00000331581	1	ortholog_one2one
ENSMUSG00000029304	ENSMUSG00000029304.15	Spp1	ENSG00000118785	SPP1	ENSP00000378517	1	ortholog_one2one
ENSMUSG00000030521	ENSMUSG00000030521.12	Mphosph10	ENSG00000124383	MPHOSPH10	ENSP00000244230	1	ortholog_one2one
ENSMUSG00000053289	ENSMUSG00000053289.9	Ddx10	ENSG00000178105	DDX10	ENSP00000314348	1	ortholog_one2one
ENSMUSG00000031636	ENSMUSG00000031636.8	Pdlim3	ENSG00000154553	PDLIM3	ENSP00000284767	1	ortholog_one2one
ENSMUSG00000024908	ENSMUSG00000024908.16	Ppp6r3	ENSG00000110075	PPP6R3	ENSP00000377389	1	ortholog_one2one
ENSMUSG00000016477	ENSMUSG00000016477.19	E2f3	ENSG00000112242	E2F3	ENSP00000262904	1	ortholog_one2one
ENSMUSG00000033429	ENSMUSG00000033429.11	Mcee	ENSG00000124370	MCEE	ENSP00000244217	1	ortholog_one2one
ENSMUSG00000026248	ENSMUSG00000026248.10	Mrpl44	ENSG00000135900	MRPL44	ENSP00000258383	1	ortholog_one2one
ENSMUSG00000030275	ENSMUSG00000030275.7	Etnk1	ENSG00000139163	ETNK1	ENSP00000266517	1	ortholog_one2one
ENSMUSG00000021003	ENSMUSG00000021003.11	Galc	ENSG00000054983	GALC	ENSP00000261304	1	ortholog_one2one
ENSMUSG00000026249	ENSMUSG00000026249.11	Serpine2	ENSG00000135919	SERPINE2	ENSP00000386412	1	ortholog_one2one
ENSMUSG00000034584	ENSMUSG00000034584.4	Exph5	ENSG00000110723	EXPH5	ENSP00000265843	1	ortholog_one2one
ENSMUSG00000030519	ENSMUSG00000030519.15	Apba2	ENSG00000034053	APBA2	ENSP00000507394	1	ortholog_one2one
ENSMUSG00000003848	ENSMUSG00000003848.15	Nob1	ENSG00000141101	NOB1	ENSP00000268802	1	ortholog_one2one
ENSMUSG00000034487	ENSMUSG00000034487.5	Poglut3	ENSG00000178202	POGLUT3	ENSP00000315386	1	ortholog_one2one
ENSMUSG00000024544	ENSMUSG00000024544.10	Ldlrad4	ENSG00000168675	LDLRAD4	ENSP00000352420	1	ortholog_one2one
ENSMUSG00000028370	ENSMUSG00000028370.8	Pappa	ENSG00000182752	PAPPA	ENSP00000330658	1	ortholog_one2one
ENSMUSG00000049553	ENSMUSG00000049553.12	Polr1a	ENSG00000068654	POLR1A	ENSP00000263857	1	ortholog_one2one
ENSMUSG00000022200	ENSMUSG00000022200.9	Golph3	ENSG00000113384	GOLPH3	ENSP00000265070	1	ortholog_one2one
ENSMUSG00000005131	ENSMUSG00000005131.5	4930550C14Rik	ENSG00000166323	C11orf65	ENSP00000376799	1	ortholog_one2one
ENSMUSG00000038732	ENSMUSG00000038732.16	Mboat1	ENSG00000172197	MBOAT1	ENSP00000324944	1	ortholog_one2one
ENSMUSG00000045569	ENSMUSG00000045569.8	Mc2r	ENSG00000185231	MC2R	ENSP00000333821	1	ortholog_one2one
ENSMUSG00000027298	ENSMUSG00000027298.18	Tyro3	ENSG00000092445	TYRO3	ENSP00000263798	1	ortholog_one2one
ENSMUSG00000022636	ENSMUSG00000022636.14	Alcam	ENSG00000170017	ALCAM	ENSP00000305988	1	ortholog_one2one
ENSMUSG00000034462	ENSMUSG00000034462.10	Pkd2	ENSG00000118762	PKD2	ENSP00000237596	1	ortholog_one2one
ENSMUSG00000071103	ENSMUSG00000071103.11	Cfap96	ENSG00000205129	CFAP96	ENSP00000368127	1	ortholog_one2one
ENSMUSG00000042751	ENSMUSG00000042751.15	Nmnat2	ENSG00000157064	NMNAT2	ENSP00000287713	1	ortholog_one2one
ENSMUSG00000051375	ENSMUSG00000051375.16	Pcdh1	ENSG00000156453	PCDH1	ENSP00000287008	1	ortholog_one2one
ENSMUSG00000032110	ENSMUSG00000032110.5	Acrv1	ENSG00000134940	ACRV1	ENSP00000432816	1	ortholog_one2one
ENSMUSG00000015365	ENSMUSG00000015365.16	Mov10l1	ENSG00000073146	MOV10L1	ENSP00000262794	1	ortholog_one2one
ENSMUSG00000015968	ENSMUSG00000015968.19	Cacna1d	ENSG00000157388	CACNA1D	ENSP00000288133	1	ortholog_one2one
ENSMUSG00000031444	ENSMUSG00000031444.17	F10	ENSG00000126218	F10	ENSP00000364709	1	ortholog_one2one
ENSMUSG00000034218	ENSMUSG00000034218.17	Atm	ENSG00000149311	ATM	ENSP00000501606	1	ortholog_one2one
ENSMUSG00000030518	ENSMUSG00000030518.18	Entrep2	ENSG00000104059	ENTREP2	ENSP00000261275	1	ortholog_one2one
ENSMUSG00000024442	ENSMUSG00000024442.7	Dele1	ENSG00000081791	DELE1	ENSP00000396225	1	ortholog_one2one
ENSMUSG00000027714	ENSMUSG00000027714.12	Exosc9	ENSG00000123737	EXOSC9	ENSP00000243498	1	ortholog_one2one
ENSMUSG00000048007	ENSMUSG00000048007.5	Timm8a1	ENSG00000126953	TIMM8A	ENSP00000361993	1	ortholog_one2one
ENSMUSG00000068270	ENSMUSG00000068270.16	Shroom4	ENSG00000158352	SHROOM4	ENSP00000365188	1	ortholog_one2one
ENSMUSG00000028373	ENSMUSG00000028373.17	Astn2	ENSG00000148219	ASTN2	ENSP00000314038	1	ortholog_one2one
ENSMUSG00000067586	ENSMUSG00000067586.5	S1pr3	ENSG00000213694	S1PR3	ENSP00000350878	1	ortholog_one2one
ENSMUSG00000056758	ENSMUSG00000056758.15	Hmga2	ENSG00000149948	HMGA2	ENSP00000384026	1	ortholog_one2one
ENSMUSG00000021886	ENSMUSG00000021886.8	Gpr65	ENSG00000140030	GPR65	ENSP00000267549	1	ortholog_one2one
ENSMUSG00000015709	ENSMUSG00000015709.10	Arnt2	ENSG00000172379	ARNT2	ENSP00000307479	1	ortholog_one2one
